Country,REF_AREA,cluster,investment_cluster,score_fdi,score_banking,score_manuf,score_digital,score_composite
Iraq,IRQ,4,Tier 2,0.1475955124631096,0.344504797870778,0.4441965448769865,0.6242759479449617,0.366309
Ireland,IRL,1,Tier 1,0.2249023347459738,0.3999236932250756,0.4745668610019302,0.7158106098535549,0.429255
Isle of Man,IMN,3,Tier 3,0.142537337905402,0.3276390564811189,0.3386700816058927,0.6235551468585535,0.33405
Israel,ISR,4,Tier 2,0.1439735884563635,0.3690875755283017,0.3803789477744041,0.6335637867778433,0.357271
Italy,ITA,4,Tier 2,0.1499880433059508,0.3459235525969216,0.4331371802164281,0.6420328576215029,0.368168
Jamaica,JAM,3,Tier 3,0.1793206801617328,0.364130334805496,0.2720073601699611,0.6235427676648838,0.337539
Japan,JPN,1,Tier 1,0.2457342982966192,0.523895142214217,0.4417799927460241,0.6615355880148565,0.447446
Kazakhstan,KAZ,3,Tier 3,0.1444142661698962,0.3547769436647614,0.3377216855709731,0.6241597830958653,0.341281
Kenya,KEN,3,Tier 3,0.1488207105223096,0.3629195229694553,0.2559172032252884,0.623889268450153,0.324133
Kiribati,KIR,4,Tier 2,0.1499761745649761,0.3803599489680926,0.2862198886548539,0.623351213325097,0.336308
"Korea, Dem. People's Rep.",PRK,3,Tier 3,0.1424611308468333,0.3276390564811189,0.2932707704570152,0.6235551468585535,0.322677
"Korea, Rep.",KOR,4,Tier 2,0.1672441673770684,0.5190782406021565,0.465289464383266,0.6409348716409558,0.424452
Kuwait,KWT,4,Tier 2,0.1370095531481352,0.2575502116689486,0.3317064343747447,0.6250252134799418,0.313422
Kyrgyz Republic,KGZ,4,Tier 2,0.1830247882872733,0.3640006629043682,0.3554807422195363,0.6233961495120595,0.359457
Lao PDR,LAO,3,Tier 3,0.1885811657056175,0.3513894254603857,0.292622012245479,0.6233636267624265,0.34225
Latvia,LVA,4,Tier 2,0.1478812013860171,0.3794790845487957,0.3806570492684432,0.6241602928563543,0.35923
Lebanon,LBN,4,Tier 2,0.2810368756419314,0.3982237846933294,0.3472405816798933,0.6239632764810825,0.39547
Lesotho,LSO,4,Tier 2,0.1827120609887662,0.2583339971113254,0.4067370797468784,0.6233595155347992,0.345753
Liberia,LBR,3,Tier 3,0.2449518867674597,0.2726868817790863,0.1874385797504509,0.6233867034568441,0.313194
Libya,LBY,4,Tier 2,0.1377660088257421,0.3348089344055613,0.4524545621392608,0.6235254103498692,0.362851
Lithuania,LTU,4,Tier 2,0.1422553097481383,0.3627581003816044,0.4131488873494268,0.6246388727216851,0.361581
Luxembourg,LUX,4,Tier 2,0.2171163218919159,0.3436492086809201,0.4461480913946642,0.6515182837269577,0.392888
"Macao SAR, China",MAC,4,Tier 2,0.142537337905402,0.4210522763596276,0.2976100666763236,0.6241978311183286,0.347266
Madagascar,MDG,3,Tier 3,0.1726769035425112,0.3213543415172492,0.2149520626807187,0.623450144536169,0.31057
Malawi,MWI,3,Tier 3,0.1588757737483239,0.3346387529477127,0.1536237761663443,0.6234254628529613,0.294413
Malaysia,MYS,1,Tier 1,0.276908,0.477608,0.506532,0.685763,0.46626
Maldives,MDV,3,Tier 3,0.1384801838906286,0.3211930982573993,0.2612603496944279,0.6234793779216957,0.311853
Mali,MLI,3,Tier 3,0.1448021748055259,0.233634969988357,0.2049780584328631,0.6234268324454474,0.277779
Marshall Islands,MHL,4,Tier 2,0.1633183376658794,0.4132391598469664,0.3144424318424128,0.6234066783960227,0.355597
Mauritius,MUS,4,Tier 2,0.1444328067015721,0.4255705255527781,0.3674753325670564,0.6715258347673668,0.375896
Mexico,MEX,4,Tier 2,0.1934901112482754,0.3900550773017823,0.4411317510470695,0.6299315162609229,0.39183
"Micronesia, Fed. Sts.",FSM,3,Tier 3,0.1484623190994643,0.3583288812139241,0.2626872867977547,0.6233527567049186,0.324463
Moldova,MDA,3,Tier 3,0.1796505135444023,0.3496516416373271,0.2751207070002399,0.623476573949449,0.334784
Mongolia,MNG,4,Tier 2,0.1617767835338573,0.4310431007781273,0.3441332048895197,0.6235388210630656,0.367035
Montenegro,MNE,3,Tier 3,0.1648980905832132,0.3573399331079416,0.3011813916489284,0.6234538995107368,0.338791
Montserrat,MSR,3,Tier 3,0.142537337905402,0.3276390564811189,0.3386700816058927,0.6233534978849276,0.334009
Morocco,MAR,4,Tier 2,0.1579656110460031,0.3466600763998497,0.4272772690962665,0.6244207992465016,0.365758
Mozambique,MOZ,3,Tier 3,0.1523610691208235,0.3049679535033777,0.177268500985786,0.6235654206026392,0.290981
Myanmar,MMR,4,Tier 2,0.1514382779772606,0.3220830741684858,0.3672977845050496,0.6234672559656651,0.34247
Namibia,NAM,3,Tier 3,0.1387954116662576,0.3486905331920144,0.3191144755739878,0.6234715011021018,0.333284
Nauru,NRU,3,Tier 3,0.1380095548874736,0.3903024576976176,0.3416892267801226,0.6233513451045452,0.349071
Nepal,NPL,3,Tier 3,0.200328348216618,0.3505559907393184,0.3276805729293638,0.6234689832125663,0.354351
Netherlands,NLD,1,Tier 1,0.454799,0.570459,0.403088,0.882899,0.556406
New Caledonia,NCL,3,Tier 3,0.142537337905402,0.3889417035181461,0.354351129223833,0.6234766514207211,0.35328
New Zealand,NZL,4,Tier 2,0.1324620964076585,0.5238512594633155,0.3001567187628657,0.6253841135703357,0.370817
