REF_AREA,Country,Year,score_fdi,score_banking,score_manuf,score_digital,score_composite
BTN,Bhutan,2025,0.236306,0.38547,0.388695,0.634583,0.39135
BTN,Bhutan,2026,0.238777,0.388806,0.395318,0.651813,0.398027
BTN,Bhutan,2027,0.241249,0.392142,0.401941,0.669043,0.404704
BOL,Bolivia,2024,0.259199,0.362109,0.308782,0.602718,0.366026
BOL,Bolivia,2025,0.262498,0.366301,0.310414,0.619257,0.37178
BOL,Bolivia,2026,0.265787,0.370482,0.312041,0.635751,0.377517
BOL,Bolivia,2027,0.269076,0.374662,0.313668,0.652245,0.383255
BWA,Botswana,2024,0.216114,0.29303,0.442433,0.6175,0.3722
BWA,Botswana,2025,0.217378,0.292065,0.446123,0.634782,0.376717
BWA,Botswana,2026,0.218638,0.291103,0.449803,0.652017,0.381221
BWA,Botswana,2027,0.219899,0.290141,0.453483,0.669252,0.385726
BRA,Brazil,2024,0.25238,0.477724,0.327529,0.630654,0.403158
BRA,Brazil,2025,0.253764,0.479737,0.325627,0.648167,0.407104
BRA,Brazil,2026,0.255144,0.481744,0.323731,0.665633,0.411039
BRA,Brazil,2027,0.256524,0.483751,0.321835,0.683099,0.414974
VGB,British Virgin Islands,2024,0.225265,0.34624,0.337806,0.617584,0.362108
VGB,British Virgin Islands,2025,0.227466,0.349503,0.337675,0.634866,0.367007
VGB,British Virgin Islands,2026,0.22966,0.352756,0.337544,0.652102,0.371893
VGB,British Virgin Islands,2027,0.231855,0.356009,0.337413,0.669337,0.376779
BRN,Brunei Darussalam,2024,0.21508,0.384462,0.418242,0.615112,0.388223
BRN,Brunei Darussalam,2025,0.217449,0.390708,0.421626,0.635354,0.395389
BRN,Brunei Darussalam,2026,0.219811,0.396937,0.425,0.65554,0.402536
BRN,Brunei Darussalam,2027,0.222173,0.403165,0.428375,0.675727,0.409682
BGR,Bulgaria,2024,0.228972,0.344241,0.394335,0.59313,0.371962
BGR,Bulgaria,2025,0.231348,0.34109,0.393704,0.613553,0.375814
BGR,Bulgaria,2026,0.233718,0.337948,0.393075,0.633919,0.379655
BGR,Bulgaria,2027,0.236087,0.334806,0.392446,0.654286,0.383497
BFA,Burkina Faso,2024,0.224021,0.263808,0.202585,0.617458,0.307296
BFA,Burkina Faso,2025,0.226539,0.266056,0.204476,0.634739,0.312543
BFA,Burkina Faso,2026,0.22905,0.268298,0.206362,0.651972,0.317775
BFA,Burkina Faso,2027,0.231561,0.27054,0.208249,0.669205,0.323007
BDI,Burundi,2024,0.251426,0.257188,0.148826,0.617314,0.300394
BDI,Burundi,2025,0.254527,0.259791,0.150573,0.634592,0.305868
BDI,Burundi,2026,0.25762,0.262386,0.152316,0.651823,0.311326
BDI,Burundi,2027,0.260712,0.264982,0.154059,0.669053,0.316784
CPV,Cabo Verde,2024,0.243921,0.314026,0.290817,0.617332,0.347853
CPV,Cabo Verde,2025,0.246312,0.31657,0.289261,0.63461,0.352274
CPV,Cabo Verde,2026,0.248697,0.319107,0.28771,0.651841,0.356682
CPV,Cabo Verde,2027,0.251082,0.321645,0.28616,0.669072,0.36109
KHM,Cambodia,2024,0.249534,0.540749,0.490291,0.617437,0.456108
KHM,Cambodia,2025,0.252169,0.554679,0.499478,0.634719,0.466134
KHM,Cambodia,2026,0.254798,0.568571,0.50864,0.651953,0.476133
KHM,Cambodia,2027,0.257426,0.582462,0.517802,0.669188,0.486132
CMR,Cameroon,2024,0.222808,0.274757,0.245602,0.617567,0.320445
CMR,Cameroon,2025,0.22486,0.279026,0.246255,0.634846,0.325747
CMR,Cameroon,2026,0.226905,0.283284,0.246906,0.652077,0.331035
CMR,Cameroon,2027,0.228951,0.287542,0.247557,0.669309,0.336322
CAN,Canada,2024,0.227687,0.455333,0.33664,0.646268,0.395553
CAN,Canada,2025,0.22939,0.455171,0.334263,0.664228,0.399021
CAN,Canada,2026,0.231089,0.455009,0.331893,0.68214,0.40248
CAN,Canada,2027,0.232788,0.454847,0.329523,0.700052,0.405939
CYM,Cayman Islands,2024,0.225265,0.353175,0.285327,0.617906,0.350786
CYM,Cayman Islands,2025,0.227466,0.356311,0.283523,0.635198,0.355238
CYM,Cayman Islands,2026,0.22966,0.35944,0.281724,0.652443,0.359678
CYM,Cayman Islands,2027,0.231855,0.362568,0.279926,0.669688,0.364117
CAF,Central African Republic,2024,0.24137,0.34624,0.23567,0.617309,0.34135
CAF,Central African Republic,2025,0.244492,0.349503,0.236982,0.634586,0.346886
CAF,Central African Republic,2026,0.247606,0.352756,0.238291,0.651817,0.352407
CAF,Central African Republic,2027,0.250719,0.356009,0.2396,0.669047,0.357927
TCD,Chad,2024,0.221074,0.282856,0.207295,0.617556,0.312371
TCD,Chad,2025,0.223186,0.28527,0.20898,0.634829,0.317484
TCD,Chad,2026,0.225292,0.287677,0.210662,0.652056,0.322584
TCD,Chad,2027,0.227399,0.290085,0.212343,0.669283,0.327683
CHL,Chile,2024,0.222044,0.395702,0.325167,0.604327,0.367696
CHL,Chile,2025,0.224202,0.398739,0.324261,0.620901,0.372191
CHL,Chile,2026,0.226355,0.401769,0.323357,0.63743,0.376674
CHL,Chile,2027,0.228507,0.404798,0.322454,0.653958,0.381156
CHN,China,2024,0.395679,0.534719,0.624335,0.64938,0.538343
CHN,China,2025,0.403383,0.542457,0.627895,0.667046,0.547012
CHN,China,2026,0.411065,0.550174,0.631445,0.684665,0.555657
CHN,China,2027,0.418747,0.557891,0.634996,0.702283,0.564302
