REF_AREA,Country,Year,score_fdi,score_banking,score_manuf,score_digital,score_composite
KWT,Kuwait,2025,0.229957,0.292575,0.404004,0.636773,0.370487
KWT,Kuwait,2026,0.23252,0.29286,0.409037,0.654065,0.376043
KWT,Kuwait,2027,0.235082,0.293145,0.414069,0.671357,0.3816
KGZ,Kyrgyz Republic,2024,0.311821,0.37159,0.367037,0.617352,0.401674
KGZ,Kyrgyz Republic,2025,0.315993,0.374453,0.369752,0.634628,0.407775
KGZ,Kyrgyz Republic,2026,0.320154,0.377308,0.372459,0.651856,0.413859
KGZ,Kyrgyz Republic,2027,0.324315,0.380163,0.375167,0.669085,0.419944
LAO,Lao PDR,2024,0.266589,0.357016,0.30719,0.617319,0.369492
LAO,Lao PDR,2025,0.268668,0.359241,0.311477,0.634596,0.375199
LAO,Lao PDR,2026,0.270741,0.361459,0.315752,0.651827,0.380891
LAO,Lao PDR,2027,0.272814,0.363678,0.320028,0.669058,0.386582
LVA,Latvia,2024,0.235718,0.396012,0.389912,0.617356,0.390668
LVA,Latvia,2025,0.238298,0.396871,0.389447,0.637192,0.395507
LVA,Latvia,2026,0.240871,0.397727,0.388984,0.656974,0.400334
LVA,Latvia,2027,0.243443,0.398584,0.388521,0.676756,0.40516
LBN,Lebanon,2024,0.29575,0.410903,0.321935,0.619075,0.395749
LBN,Lebanon,2025,0.299038,0.413294,0.320389,0.636337,0.4004
LBN,Lebanon,2026,0.302318,0.415679,0.318847,0.653552,0.405037
LBN,Lebanon,2027,0.305598,0.418064,0.317305,0.670766,0.409675
LSO,Lesotho,2024,0.234736,0.255347,0.429112,0.617311,0.364998
LSO,Lesotho,2025,0.233309,0.257177,0.432405,0.634588,0.369306
LSO,Lesotho,2026,0.231887,0.259001,0.435689,0.651818,0.373602
LSO,Lesotho,2027,0.230464,0.260825,0.438974,0.669048,0.377899
LBR,Liberia,2024,0.272814,0.28806,0.159204,0.617341,0.317128
LBR,Liberia,2025,0.275144,0.290042,0.156756,0.634618,0.321166
LBR,Liberia,2026,0.277468,0.292019,0.154315,0.651847,0.325193
LBR,Liberia,2027,0.279792,0.293996,0.151873,0.669077,0.32922
LBY,Libya,2024,0.222014,0.352371,0.376854,0.61769,0.372449
LBY,Libya,2025,0.224394,0.355924,0.37496,0.634978,0.377035
LBY,Libya,2026,0.226768,0.359467,0.37307,0.652218,0.381608
LBY,Libya,2027,0.229142,0.36301,0.371181,0.669459,0.386182
LTU,Lithuania,2024,0.229143,0.372433,0.426916,0.623006,0.393181
LTU,Lithuania,2025,0.231409,0.37192,0.426736,0.639979,0.397083
LTU,Lithuania,2026,0.233669,0.371408,0.426557,0.656906,0.400973
LTU,Lithuania,2027,0.235928,0.370897,0.426377,0.673833,0.404864
LUX,Luxembourg,2024,0.280385,0.359842,0.425122,0.656151,0.411587
LUX,Luxembourg,2025,0.282039,0.363542,0.426531,0.671675,0.416465
LUX,Luxembourg,2026,0.283689,0.367233,0.427937,0.687156,0.42133
LUX,Luxembourg,2027,0.285339,0.370923,0.429342,0.702636,0.426195
MAC,"Macao SAR, China",2024,0.225265,0.43458,0.247733,0.618272,0.361812
MAC,"Macao SAR, China",2025,0.227466,0.441293,0.241697,0.63558,0.366103
MAC,"Macao SAR, China",2026,0.22966,0.447989,0.235677,0.65284,0.370383
MAC,"Macao SAR, China",2027,0.231855,0.454684,0.229658,0.670101,0.374662
MDG,Madagascar,2024,0.304336,0.35725,0.20342,0.617407,0.35495
MDG,Madagascar,2025,0.308453,0.360941,0.204025,0.634683,0.360714
MDG,Madagascar,2026,0.312559,0.364621,0.204628,0.651912,0.366462
MDG,Madagascar,2027,0.316665,0.368302,0.205231,0.669141,0.372211
MWI,Malawi,2024,0.238721,0.330764,0.155111,0.588023,0.31069
MWI,Malawi,2025,0.239406,0.33239,0.154975,0.603745,0.314412
MWI,Malawi,2026,0.240089,0.334011,0.154839,0.619425,0.318124
MWI,Malawi,2027,0.240772,0.335632,0.154704,0.635104,0.321836
MYS,Malaysia,2024,0.277183,0.481812,0.503805,0.705576,0.470674
MYS,Malaysia,2025,0.279453,0.487097,0.504857,0.729761,0.477777
MYS,Malaysia,2026,0.281717,0.492368,0.505906,0.75388,0.484859
MYS,Malaysia,2027,0.28398,0.497638,0.506955,0.777999,0.491942
MDV,Maldives,2024,0.225364,0.34176,0.251158,0.617446,0.339328
MDV,Maldives,2025,0.227707,0.343463,0.249139,0.634729,0.343409
MDV,Maldives,2026,0.230044,0.345161,0.247126,0.651966,0.347478
MDV,Maldives,2027,0.23238,0.346859,0.245112,0.669202,0.351547
MLI,Mali,2024,0.231573,0.253074,0.19795,0.617419,0.305711
MLI,Mali,2025,0.234276,0.254769,0.199855,0.634699,0.310879
MLI,Mali,2026,0.236972,0.25646,0.201756,0.651931,0.316032
MLI,Mali,2027,0.239668,0.25815,0.203656,0.669164,0.321185
MHL,Marshall Islands,2024,0.246099,0.438369,0.295198,0.617368,0.380695
MHL,Marshall Islands,2025,0.247907,0.44367,0.29507,0.634647,0.385986
MHL,Marshall Islands,2026,0.24971,0.448956,0.294942,0.651878,0.391263
MHL,Marshall Islands,2027,0.251514,0.454242,0.294813,0.66911,0.39654
MUS,Mauritius,2024,0.219983,0.45532,0.358883,0.695395,0.408625
MUS,Mauritius,2025,0.221586,0.459818,0.355274,0.716503,0.413549
MUS,Mauritius,2026,0.223184,0.464303,0.351675,0.737553,0.41846
MUS,Mauritius,2027,0.224782,0.468788,0.348076,0.758603,0.423371
MEX,Mexico,2024,0.246465,0.400157,0.442602,0.580662,0.400762
MEX,Mexico,2025,0.246801,0.405409,0.444109,0.596026,0.405625
MEX,Mexico,2026,0.247136,0.410647,0.445611,0.611348,0.410475
MEX,Mexico,2027,0.247471,0.415885,0.447114,0.62667,0.415325
FSM,"Micronesia, Fed. Sts.",2024,0.244444,0.378401,0.263422,0.617298,0.357249
FSM,"Micronesia, Fed. Sts.",2025,0.247428,0.381729,0.266678,0.634575,0.363245
FSM,"Micronesia, Fed. Sts.",2026,0.250404,0.385048,0.269925,0.651805,0.369225
FSM,"Micronesia, Fed. Sts.",2027,0.253379,0.388367,0.273173,0.669035,0.375206
MDA,Moldova,2024,0.279187,0.334933,0.278912,0.605687,0.358355
MDA,Moldova,2025,0.281413,0.333375,0.277009,0.62255,0.36153
MDA,Moldova,2026,0.283633,0.331821,0.275111,0.639367,0.364696
MDA,Moldova,2027,0.285854,0.330267,0.273213,0.656184,0.367863
MNG,Mongolia,2024,0.244645,0.44645,0.340846,0.607741,0.391766
MNG,Mongolia,2025,0.246114,0.450898,0.343476,0.624605,0.397349
MNG,Mongolia,2026,0.247579,0.455335,0.346099,0.641422,0.402916
MNG,Mongolia,2027,0.249044,0.459771,0.348722,0.65824,0.408484
MNE,Montenegro,2024,0.247795,0.372295,0.301425,0.617409,0.366251
MNE,Montenegro,2025,0.250912,0.371464,0.297713,0.63469,0.369506
MNE,Montenegro,2026,0.254021,0.370636,0.294011,0.651924,0.372753
MNE,Montenegro,2027,0.25713,0.369808,0.290309,0.669157,0.376
MSR,Montserrat,2024,0.225265,0.34624,0.337842,0.617298,0.36206
MSR,Montserrat,2025,0.227466,0.349503,0.33773,0.634575,0.366963
MSR,Montserrat,2026,0.22966,0.352756,0.337619,0.651805,0.371853
MSR,Montserrat,2027,0.231855,0.356009,0.337508,0.669035,0.376743
MAR,Morocco,2024,0.236455,0.365073,0.42915,0.618591,0.39321
MAR,Morocco,2025,0.237906,0.369909,0.432448,0.635895,0.39914
MAR,Morocco,2026,0.239354,0.374732,0.435737,0.653153,0.405054
MAR,Morocco,2027,0.240802,0.379555,0.439027,0.67041,0.410968
MOZ,Mozambique,2024,0.240924,0.2955,0.185553,0.617843,0.316109
MOZ,Mozambique,2025,0.243227,0.298815,0.187358,0.635138,0.321539
MOZ,Mozambique,2026,0.245523,0.302121,0.189158,0.652386,0.326954
MOZ,Mozambique,2027,0.24782,0.305427,0.190959,0.669634,0.332369
MMR,Myanmar,2024,0.240022,0.338595,0.371114,0.606586,0.370751
MMR,Myanmar,2025,0.241793,0.340773,0.377829,0.623333,0.376855
MMR,Myanmar,2026,0.24356,0.342945,0.384526,0.640034,0.382943
MMR,Myanmar,2027,0.245327,0.345117,0.391222,0.656736,0.38903
NAM,Namibia,2024,0.221211,0.360802,0.334214,0.617407,0.363599
NAM,Namibia,2025,0.223248,0.363629,0.334745,0.634685,0.368505
NAM,Namibia,2026,0.225279,0.366447,0.335274,0.651916,0.373397
NAM,Namibia,2027,0.227311,0.369266,0.335804,0.669147,0.37829
NRU,Nauru,2024,0.231866,0.415369,0.352927,0.617296,0.385093
NRU,Nauru,2025,0.234574,0.421065,0.353179,0.634573,0.390848
NRU,Nauru,2026,0.237276,0.426746,0.35343,0.651803,0.396587
NRU,Nauru,2027,0.239977,0.432427,0.353681,0.669033,0.402327
NPL,Nepal,2024,0.295727,0.360713,0.365778,0.617456,0.393832
NPL,Nepal,2025,0.299955,0.365952,0.369558,0.634738,0.400812
NPL,Nepal,2026,0.304173,0.371176,0.373329,0.651974,0.407773
NPL,Nepal,2027,0.30839,0.376401,0.377099,0.669209,0.414734
NLD,Netherlands,2024,0.450245,0.567373,0.395345,0.90645,0.557043
NLD,Netherlands,2025,0.452938,0.572112,0.392899,0.930452,0.563225
NLD,Netherlands,2026,0.455624,0.576838,0.39046,0.954387,0.569389
NLD,Netherlands,2027,0.458309,0.581563,0.388021,0.978323,0.575553
NCL,New Caledonia,2024,0.225265,0.413113,0.355444,0.617473,0.383214
NCL,New Caledonia,2025,0.227466,0.418663,0.353959,0.634751,0.388346
NCL,New Caledonia,2026,0.22966,0.424198,0.352479,0.651982,0.393463
NCL,New Caledonia,2027,0.231855,0.429732,0.350998,0.669212,0.398581
NZL,New Zealand,2024,0.222598,0.541869,0.283761,0.619819,0.397151
NZL,New Zealand,2025,0.225194,0.544502,0.281491,0.637164,0.401489
NZL,New Zealand,2026,0.227783,0.547128,0.279227,0.654463,0.405816
NZL,New Zealand,2027,0.230372,0.549754,0.276964,0.671761,0.410143
NIC,Nicaragua,2024,0.256754,0.289136,0.358235,0.617394,0.362348
NIC,Nicaragua,2025,0.259374,0.288785,0.362509,0.634673,0.36757
NIC,Nicaragua,2026,0.261986,0.288434,0.366771,0.651904,0.372778
NIC,Nicaragua,2027,0.264599,0.288084,0.371032,0.669135,0.377986
NGA,Nigeria,2024,0.285017,0.307912,0.233874,0.619161,0.344784
NGA,Nigeria,2025,0.288299,0.308134,0.234929,0.636484,0.349552
NGA,Nigeria,2026,0.291571,0.308356,0.235981,0.65376,0.354307
NGA,Nigeria,2027,0.294843,0.308578,0.237032,0.671036,0.359063
NIU,Niue,2024,0.225265,0.34624,0.337842,0.617295,0.362059
NIU,Niue,2025,0.227466,0.349503,0.33773,0.634572,0.366962
NIU,Niue,2026,0.22966,0.352756,0.337619,0.651802,0.371852
NIU,Niue,2027,0.231855,0.356009,0.337508,0.669032,0.376742
MKD,North Macedonia,2024,0.224357,0.424901,0.491701,0.586849,0.413827
MKD,North Macedonia,2025,0.226315,0.428547,0.491975,0.607576,0.41954
MKD,North Macedonia,2026,0.228267,0.432184,0.492247,0.628247,0.425237
MKD,North Macedonia,2027,0.230219,0.435821,0.49252,0.648917,0.430935
MNP,Northern Mariana Islands,2024,0.225265,0.34624,0.3337,0.617584,0.361082
MNP,Northern Mariana Islands,2025,0.227466,0.349503,0.33238,0.634866,0.365684
MNP,Northern Mariana Islands,2026,0.22966,0.352756,0.331063,0.652102,0.370273
MNP,Northern Mariana Islands,2027,0.231855,0.356009,0.329746,0.669337,0.374863
NOR,Norway,2024,0.215887,0.435349,0.314071,0.626231,0.377367
NOR,Norway,2025,0.217395,0.438347,0.313679,0.643684,0.381962
NOR,Norway,2026,0.218898,0.441337,0.313288,0.661088,0.386543
NOR,Norway,2027,0.220401,0.444327,0.312897,0.678493,0.391125
OMN,Oman,2024,0.215368,0.320042,0.436478,0.618268,0.377394
OMN,Oman,2025,0.217422,0.323484,0.440541,0.635563,0.383346
OMN,Oman,2026,0.219471,0.326918,0.444593,0.65281,0.389281
OMN,Oman,2027,0.22152,0.330351,0.448644,0.670058,0.395216
PAK,Pakistan,2024,0.273983,0.264006,0.382545,0.618461,0.367525
PAK,Pakistan,2025,0.277476,0.266692,0.385416,0.635769,0.373424
PAK,Pakistan,2026,0.28096,0.269371,0.38828,0.653029,0.379306
PAK,Pakistan,2027,0.284443,0.27205,0.391143,0.67029,0.385189
PLW,Palau,2024,0.222426,0.43204,0.293846,0.617298,0.371659
PLW,Palau,2025,0.224569,0.437251,0.293446,0.634575,0.37696
PLW,Palau,2026,0.226706,0.442448,0.293048,0.651805,0.382247
PLW,Palau,2027,0.228843,0.447645,0.29265,0.669035,0.387533
PAN,Panama,2024,0.219103,0.424761,0.303899,0.618034,0.371502
PAN,Panama,2025,0.221172,0.428059,0.305463,0.635325,0.376797
PAN,Panama,2026,0.223235,0.431349,0.307022,0.65257,0.382077
PAN,Panama,2027,0.225298,0.434638,0.308582,0.669814,0.387357
PNG,Papua New Guinea,2024,0.244408,0.305274,0.17503,0.617678,0.316934
PNG,Papua New Guinea,2025,0.247724,0.308594,0.174714,0.634964,0.322137
PNG,Papua New Guinea,2026,0.251032,0.311905,0.174399,0.652203,0.327326
PNG,Papua New Guinea,2027,0.254339,0.315217,0.174083,0.669442,0.332515
PRY,Paraguay,2024,0.25651,0.353806,0.356741,0.66654,0.387897
PRY,Paraguay,2025,0.258321,0.354301,0.358403,0.698452,0.395363
PRY,Paraguay,2026,0.260127,0.354795,0.360061,0.730277,0.402808
PRY,Paraguay,2027,0.261933,0.355289,0.361719,0.762103,0.410253
PER,Peru,2024,0.232358,0.421266,0.310896,0.582014,0.369151
PER,Peru,2025,0.234051,0.425321,0.311908,0.597824,0.374088
PER,Peru,2026,0.23574,0.429365,0.312918,0.613591,0.379011
PER,Peru,2027,0.237428,0.433409,0.313927,0.629357,0.383934
PHL,Philippines,2024,0.271385,0.325289,0.394214,0.597349,0.380761
PHL,Philippines,2025,0.273838,0.329816,0.3941,0.619041,0.386939
PHL,Philippines,2026,0.276285,0.33433,0.393987,0.640674,0.393099
PHL,Philippines,2027,0.278731,0.338844,0.393873,0.662307,0.39926
POL,Poland,2024,0.226197,0.409345,0.448064,0.619473,0.406106
POL,Poland,2025,0.228073,0.413733,0.447561,0.637277,0.411201
POL,Poland,2026,0.229944,0.41811,0.44706,0.655033,0.416282
POL,Poland,2027,0.231815,0.422486,0.446558,0.672788,0.421363
PRT,Portugal,2024,0.255503,0.425946,0.351342,0.722308,0.415434
PRT,Portugal,2025,0.257751,0.430078,0.350475,0.745349,0.421533
PRT,Portugal,2026,0.259992,0.434198,0.34961,0.768327,0.427615
PRT,Portugal,2027,0.262234,0.438318,0.348745,0.791305,0.433697
PRI,Puerto Rico,2024,0.225265,0.463695,0.489982,0.617584,0.429516
PRI,Puerto Rico,2025,0.227466,0.467307,0.489678,0.634866,0.434459
PRI,Puerto Rico,2026,0.22966,0.47091,0.489375,0.652102,0.43939
PRI,Puerto Rico,2027,0.231855,0.474513,0.489072,0.669337,0.44432
QAT,Qatar,2024,0.217534,0.371992,0.421486,0.607151,0.38506
QAT,Qatar,2025,0.219285,0.378561,0.422143,0.623994,0.39076
QAT,Qatar,2026,0.22103,0.385113,0.422799,0.640791,0.396445
QAT,Qatar,2027,0.222776,0.391664,0.423454,0.657588,0.40213
ROU,Romania,2024,0.221331,0.332152,0.446824,0.591633,0.37947
ROU,Romania,2025,0.222603,0.331306,0.446468,0.613496,0.383924
ROU,Romania,2026,0.223872,0.330462,0.446113,0.635299,0.388365
ROU,Romania,2027,0.225141,0.329618,0.445758,0.657103,0.392807
RUS,Russian Federation,2024,0.25114,0.420061,0.349446,0.636167,0.394952
RUS,Russian Federation,2025,0.253388,0.424217,0.348666,0.653983,0.400034
RUS,Russian Federation,2026,0.255631,0.428361,0.347888,0.67175,0.405101
RUS,Russian Federation,2027,0.257873,0.432505,0.34711,0.689517,0.410169
RWA,Rwanda,2024,0.241249,0.366762,0.265297,0.617313,0.353852
RWA,Rwanda,2025,0.243772,0.369295,0.270874,0.634591,0.360092
RWA,Rwanda,2026,0.246288,0.371822,0.276435,0.651822,0.366315
RWA,Rwanda,2027,0.248804,0.374348,0.281996,0.669052,0.372538
WSM,Samoa,2024,0.278354,0.414362,0.234132,0.61731,0.369092
WSM,Samoa,2025,0.282294,0.421737,0.226593,0.634588,0.373688
WSM,Samoa,2026,0.286224,0.429092,0.219074,0.651818,0.378272
WSM,Samoa,2027,0.290154,0.436447,0.211555,0.669049,0.382856
STP,Sao Tome and Principe,2024,0.245909,0.284701,0.22388,0.617296,0.324377
STP,Sao Tome and Principe,2025,0.247081,0.282608,0.221132,0.634573,0.326974
STP,Sao Tome and Principe,2026,0.24825,0.280522,0.218391,0.651804,0.329564
STP,Sao Tome and Principe,2027,0.24942,0.278435,0.21565,0.669034,0.332154
SAU,Saudi Arabia,2024,0.251647,0.348217,0.380985,0.605706,0.378936
SAU,Saudi Arabia,2025,0.254599,0.351998,0.381309,0.622366,0.38418
SAU,Saudi Arabia,2026,0.257543,0.355769,0.381633,0.638981,0.38941
SAU,Saudi Arabia,2027,0.260487,0.359539,0.381956,0.655596,0.394639
SRB,Serbia,2024,0.276153,0.360556,0.394627,0.634872,0.398616
SRB,Serbia,2025,0.279077,0.361636,0.393036,0.653026,0.402996
SRB,Serbia,2026,0.281992,0.362713,0.391449,0.671131,0.407364
SRB,Serbia,2027,0.284908,0.363789,0.389862,0.689235,0.411732
SYC,Seychelles,2024,0.229104,0.29472,0.283791,0.617428,0.336845
SYC,Seychelles,2025,0.231317,0.296021,0.281198,0.634711,0.340642
SYC,Seychelles,2026,0.233523,0.297317,0.278611,0.651946,0.344428
SYC,Seychelles,2027,0.235729,0.298614,0.276025,0.669181,0.348215
SGP,Singapore,2024,0.254219,0.45537,0.442849,0.679234,0.436667
SGP,Singapore,2025,0.256991,0.458917,0.439577,0.698756,0.441472
SGP,Singapore,2026,0.259756,0.462454,0.436314,0.718224,0.446264
SGP,Singapore,2027,0.26252,0.465991,0.433051,0.737693,0.451055
SXM,Sint Maarten (Dutch part),2024,0.225265,0.360528,0.283881,0.617348,0.352151
SXM,Sint Maarten (Dutch part),2025,0.227466,0.363245,0.281219,0.634625,0.356281
SXM,Sint Maarten (Dutch part),2026,0.22966,0.365955,0.278564,0.651856,0.360399
SXM,Sint Maarten (Dutch part),2027,0.231855,0.368665,0.275908,0.669086,0.364517
SVK,Slovak Republic,2024,0.234231,0.356618,0.493562,0.619978,0.40681
SVK,Slovak Republic,2025,0.237436,0.360398,0.492081,0.636753,0.411701
SVK,Slovak Republic,2026,0.240632,0.364169,0.490603,0.653482,0.416579
SVK,Slovak Republic,2027,0.243829,0.367939,0.489126,0.670211,0.421457
SVN,Slovenia,2024,0.221344,0.380812,0.475694,0.62795,0.406119
SVN,Slovenia,2025,0.223364,0.384972,0.476311,0.645014,0.411333
SVN,Slovenia,2026,0.225378,0.389122,0.476927,0.662033,0.416532
SVN,Slovenia,2027,0.227393,0.393271,0.477542,0.679051,0.421731
SLB,Solomon Islands,2024,0.250627,0.380595,0.241541,0.617317,0.354185
SLB,Solomon Islands,2025,0.253894,0.384831,0.24635,0.634594,0.360882
SLB,Solomon Islands,2026,0.257152,0.389055,0.251147,0.651825,0.367561
SLB,Solomon Islands,2027,0.26041,0.39328,0.255944,0.669055,0.37424
SOM,Somalia,2024,0.29552,0.34624,0.327375,0.617584,0.380577
SOM,Somalia,2025,0.297827,0.349503,0.329564,0.634866,0.386088
SOM,Somalia,2026,0.300128,0.352756,0.331746,0.652102,0.391584
SOM,Somalia,2027,0.302428,0.356009,0.333928,0.669337,0.39708
ZAF,South Africa,2024,0.206504,0.34624,0.417525,0.607026,0.374298
ZAF,South Africa,2025,0.20809,0.349503,0.417808,0.623634,0.378982
ZAF,South Africa,2026,0.209672,0.352756,0.41809,0.640196,0.383652
ZAF,South Africa,2027,0.211253,0.356009,0.418373,0.656758,0.388323
SSD,South Sudan,2024,0.251385,0.298805,0.180862,0.617382,0.318809
SSD,South Sudan,2025,0.254023,0.300798,0.175477,0.634661,0.322208
SSD,South Sudan,2026,0.256653,0.302786,0.170105,0.651894,0.325598
SSD,South Sudan,2027,0.259284,0.304774,0.164734,0.669126,0.328987
ESP,Spain,2024,0.314213,0.474424,0.376367,0.742117,0.455385
ESP,Spain,2025,0.315292,0.478433,0.374692,0.76358,0.460585
ESP,Spain,2026,0.316368,0.482431,0.373021,0.784984,0.46577
ESP,Spain,2027,0.317443,0.486429,0.371351,0.806388,0.470955
LKA,Sri Lanka,2024,0.247473,0.301378,0.409599,0.61777,0.37554
LKA,Sri Lanka,2025,0.249461,0.303592,0.411336,0.635054,0.380581
LKA,Sri Lanka,2026,0.251443,0.305801,0.413067,0.652291,0.385608
LKA,Sri Lanka,2027,0.253425,0.308009,0.414799,0.669527,0.390635
KNA,St. Kitts and Nevis,2024,0.221155,0.388697,0.328868,0.617333,0.369204
KNA,St. Kitts and Nevis,2025,0.223007,0.391323,0.326514,0.634611,0.373284
KNA,St. Kitts and Nevis,2026,0.224855,0.393943,0.324167,0.651841,0.377352
KNA,St. Kitts and Nevis,2027,0.226703,0.396562,0.32182,0.669072,0.381421
MAF,St. Martin (French part),2024,0.225265,0.34624,0.336891,0.617584,0.361879
MAF,St. Martin (French part),2025,0.227466,0.349503,0.336587,0.634866,0.366735
MAF,St. Martin (French part),2026,0.22966,0.352756,0.336283,0.652102,0.371578
MAF,St. Martin (French part),2027,0.231855,0.356009,0.335979,0.669337,0.376421
VCT,St. Vincent and the Grenadines,2024,0.234397,0.335603,0.339801,0.617308,0.362632
VCT,St. Vincent and the Grenadines,2025,0.236666,0.337256,0.341633,0.634586,0.367639
VCT,St. Vincent and the Grenadines,2026,0.238929,0.338905,0.34346,0.651816,0.372633
VCT,St. Vincent and the Grenadines,2027,0.241192,0.340554,0.345287,0.669046,0.377627
SSF,Sub-Saharan Africa,2024,0.225265,0.34624,0.337842,0.632311,0.365062
SSF,Sub-Saharan Africa,2025,0.227466,0.349503,0.33773,0.649899,0.370028
SSF,Sub-Saharan Africa,2026,0.22966,0.352756,0.337619,0.66744,0.37498
SSF,Sub-Saharan Africa,2027,0.231855,0.356009,0.337508,0.68498,0.379932
SDN,Sudan,2024,0.253408,0.31687,0.272244,0.617364,0.346774
SDN,Sudan,2025,0.256203,0.321415,0.275855,0.63464,0.353106
SDN,Sudan,2026,0.258991,0.325947,0.279456,0.651869,0.359422
SDN,Sudan,2027,0.261779,0.330479,0.283057,0.669098,0.365738
SUR,Suriname,2024,0.236931,0.338224,0.370884,0.617399,0.371836
SUR,Suriname,2025,0.239158,0.341138,0.372519,0.634679,0.377097
SUR,Suriname,2026,0.241378,0.344044,0.374149,0.651912,0.382344
SUR,Suriname,2027,0.243598,0.346951,0.375779,0.669145,0.387591
SWE,Sweden,2024,0.220662,0.417771,0.386368,0.641603,0.395554
SWE,Sweden,2025,0.22178,0.421614,0.385282,0.653994,0.399057
SWE,Sweden,2026,0.222894,0.425447,0.3842,0.666351,0.40255
SWE,Sweden,2027,0.224009,0.429279,0.383117,0.678708,0.406043
CHE,Switzerland,2024,0.247665,0.424591,0.41566,0.666477,0.417657
CHE,Switzerland,2025,0.249831,0.42733,0.415574,0.684922,0.42266
CHE,Switzerland,2026,0.251991,0.43006,0.415489,0.703317,0.427648
CHE,Switzerland,2027,0.254152,0.432791,0.415404,0.721712,0.432637
SYR,Syrian Arab Republic,2024,0.222736,0.241973,0.357897,0.617584,0.340305
SYR,Syrian Arab Republic,2025,0.22443,0.244059,0.35832,0.634866,0.344897
SYR,Syrian Arab Republic,2026,0.226119,0.24614,0.358741,0.652102,0.349476
SYR,Syrian Arab Republic,2027,0.227808,0.248221,0.359163,0.669337,0.354056
TWN,"Taiwan, China",2024,0.225265,0.34624,0.337842,0.625907,0.363781
TWN,"Taiwan, China",2025,0.227466,0.349503,0.33773,0.64339,0.368726
TWN,"Taiwan, China",2026,0.22966,0.352756,0.337619,0.660826,0.373657
TWN,"Taiwan, China",2027,0.231855,0.356009,0.337508,0.678262,0.378588
TJK,Tajikistan,2024,0.327736,0.430647,0.310922,0.617306,0.407174
TJK,Tajikistan,2025,0.33204,0.439087,0.309605,0.634583,0.413701
TJK,Tajikistan,2026,0.336332,0.447503,0.308291,0.651813,0.420211
TJK,Tajikistan,2027,0.340624,0.455919,0.306977,0.669043,0.42672
THA,Thailand,2024,0.234932,0.514562,0.448533,0.227933,0.35684
THA,Thailand,2025,0.237516,0.523983,0.449101,0.226866,0.359899
THA,Thailand,2026,0.240093,0.533378,0.449667,0.225802,0.362949
THA,Thailand,2027,0.242669,0.542773,0.450233,0.224738,0.366
TLS,Timor-Leste,2024,0.247,0.300162,0.28108,0.61731,0.342872
TLS,Timor-Leste,2025,0.250042,0.302945,0.287495,0.634587,0.34954
TLS,Timor-Leste,2026,0.253075,0.30572,0.293893,0.651817,0.356189
TLS,Timor-Leste,2027,0.256109,0.308495,0.300291,0.669047,0.362839
TON,Tonga,2024,0.291009,0.398417,0.315947,0.617302,0.389354
TON,Tonga,2025,0.294133,0.401888,0.318616,0.63458,0.395282
TON,Tonga,2026,0.297249,0.40535,0.321278,0.65181,0.401194
TON,Tonga,2027,0.300365,0.408812,0.32394,0.66904,0.407106
TTO,Trinidad and Tobago,2024,0.244032,0.344972,0.389814,0.617853,0.380477
TTO,Trinidad and Tobago,2025,0.247638,0.347075,0.389464,0.635152,0.385457
TTO,Trinidad and Tobago,2026,0.251234,0.349172,0.389116,0.652403,0.390423
TTO,Trinidad and Tobago,2027,0.254831,0.351268,0.388767,0.669654,0.395389
TUN,Tunisia,2024,0.217983,0.365443,0.477833,0.64107,0.404428
TUN,Tunisia,2025,0.218894,0.371013,0.479089,0.659208,0.410036
TUN,Tunisia,2026,0.219803,0.376569,0.480342,0.677297,0.415628
TUN,Tunisia,2027,0.220712,0.382124,0.481595,0.695386,0.42122
TUR,Turkiye,2024,0.221997,0.536009,0.468926,0.614542,0.440741
TUR,Turkiye,2025,0.223101,0.548598,0.47108,0.631442,0.448138
TUR,Turkiye,2026,0.224202,0.561153,0.473227,0.648295,0.455515
TUR,Turkiye,2027,0.225303,0.573708,0.475375,0.665148,0.462891
TKM,Turkmenistan,2024,0.234273,0.34624,0.392032,0.617584,0.378367
TKM,Turkmenistan,2025,0.236265,0.349503,0.391872,0.634866,0.383197
TKM,Turkmenistan,2026,0.238252,0.352756,0.391713,0.652102,0.388013
TKM,Turkmenistan,2027,0.240239,0.356009,0.391554,0.669337,0.39283
TCA,Turks and Caicos Islands,2024,0.225265,0.34624,0.288849,0.617354,0.349823
TCA,Turks and Caicos Islands,2025,0.227466,0.349503,0.288225,0.634626,0.354597
TCA,Turks and Caicos Islands,2026,0.22966,0.352756,0.287602,0.65185,0.359358
TCA,Turks and Caicos Islands,2027,0.231855,0.356009,0.28698,0.669075,0.364119
TUV,Tuvalu,2024,0.219214,0.408672,0.345648,0.617296,0.377803
TUV,Tuvalu,2025,0.219413,0.414259,0.348654,0.634573,0.383467
TUV,Tuvalu,2026,0.219612,0.419831,0.351652,0.651803,0.389115
TUV,Tuvalu,2027,0.219812,0.425402,0.35465,0.669033,0.394763
UGA,Uganda,2024,0.251592,0.317765,0.234767,0.617611,0.337133
UGA,Uganda,2025,0.253477,0.320231,0.237803,0.634897,0.342531
UGA,Uganda,2026,0.255358,0.32269,0.240831,0.652137,0.347915
UGA,Uganda,2027,0.257238,0.325149,0.243859,0.669376,0.353299
UKR,Ukraine,2024,0.249949,0.387841,0.329601,0.619337,0.378213
UKR,Ukraine,2025,0.251918,0.386799,0.324517,0.636648,0.380734
