country,year,composite_v1,composite_v2,tier_v1,tier_v2
Cambodia,2027,0.4861314,0.598607892,High,High
Cameroon,2024,0.32044554999999997,0.4919038859999999,Medium,High
Cameroon,2025,0.32574745,0.504136864,Medium,High
Cameroon,2026,0.3310344,0.51633582,Medium,High
Cameroon,2027,0.33632185,0.52853554,Medium,High
Canada,2024,0.39555295,0.5449684539999999,High,High
Canada,2025,0.3990211,0.55670692,High,High
Canada,2026,0.40248019999999995,0.5684140779999999,High,High
Canada,2027,0.4059393,0.580121236,High,High
Cayman Islands,2024,0.3507862,0.5070247379999999,Medium,High
Cayman Islands,2025,0.3552379,0.5188822759999999,Medium,High
Cayman Islands,2026,0.3596776,0.530707694,Medium,High
Cayman Islands,2027,0.3641176,0.5425331819999999,High,High
Central African Republic,2024,0.3413503,0.502430182,Medium,High
Central African Republic,2025,0.34688605,0.514704348,Medium,High
Central African Republic,2026,0.35240695,0.526945738,Medium,High
Central African Republic,2027,0.35792735000000003,0.539186364,Medium,High
Chad,2024,0.31237115,0.48898360799999996,Medium,High
Chad,2025,0.3174841,0.5010699179999999,Medium,High
Chad,2026,0.32258355,0.5131240719999999,Medium,High
Chad,2027,0.3276833,0.525178368,Medium,High
Chile,2024,0.36769585,0.5075160019999999,High,High
Chile,2025,0.37219080000000004,0.5189728739999999,High,High
Chile,2026,0.376674,0.530398854,High,High
Chile,2027,0.3811567,0.541824034,High,High
China,2024,0.5383432,0.604389298,High,High
China,2025,0.5470121,0.618238518,High,High
China,2026,0.55565725,0.6320506239999999,High,High
China,2027,0.56430245,0.645862172,High,High
Colombia,2024,0.3967668,0.571603938,High,High
Colombia,2025,0.40240035,0.5860009719999999,High,High
Colombia,2026,0.40801825,0.6003588219999999,High,High
Colombia,2027,0.41363615,0.614716144,High,High
"Congo, Dem. Rep.",2024,0.3435199,0.4996567819999999,Medium,High
"Congo, Dem. Rep.",2025,0.34782635,0.51126023,Medium,High
"Congo, Dem. Rep.",2026,0.3521211,0.522831532,Medium,High
"Congo, Dem. Rep.",2027,0.35641605000000004,0.534403528,Medium,High
"Congo, Rep.",2024,0.34901055,0.5035401279999999,Medium,High
"Congo, Rep.",2025,0.35363265,0.515468804,Medium,High
"Congo, Rep.",2026,0.35824195000000003,0.52736551,Medium,High
"Congo, Rep.",2027,0.36285135,0.539261664,High,High
Costa Rica,2024,0.3934267,0.5272035079999999,High,High
