Country,cluster,cluster_name,score_fdi,score_banking,score_manuf,score_digital
Mauritius,0,Tier B – Moderate-High,0.20000527295663117,0.39924902772789334,0.40394994984535676,0.43210577703079683
"Korea, Rep.",0,Tier B – Moderate-High,0.24188276746198856,0.4754274491994423,0.47363529298322665,0.40527648395044324
Lebanon,0,Tier B – Moderate-High,0.25471277161209205,0.38130279460449074,0.34123056926285283,0.40376136727759365
Japan,0,Tier B – Moderate-High,0.2842647452903551,0.4912340527859142,0.4702011385205041,0.44614557599272003
Italy,0,Tier B – Moderate-High,0.21376776791984156,0.34897199202934326,0.435748777568514,0.40952158165851077
Lithuania,0,Tier B – Moderate-High,0.20084522978270714,0.37873446881657796,0.4291617213195153,0.4112674666411667
Luxembourg,0,Tier B – Moderate-High,0.25973837581820974,0.3169140627583856,0.4074864064618393,0.462441838621249
Ireland,0,Tier B – Moderate-High,0.2525514956497225,0.4506656378331815,0.49597956137118615,0.48873917614518353
Spain,0,Tier B – Moderate-High,0.30075904166666667,0.42442670833333335,0.39819200000000005,0.4738060416666667
India,0,Tier B – Moderate-High,0.2936352686033348,0.3257480768806736,0.3823094121080652,0.42362017181218187
Iceland,0,Tier B – Moderate-High,0.21922094070379405,0.44328729315465426,0.3010684662285719,0.44931350388438546
Malaysia,0,Tier B – Moderate-High,0.248891375,0.415111625,0.4906705416666666,0.414821625
"Hong Kong SAR, China",0,Tier B – Moderate-High,0.19780747253861028,0.5051531115144526,0.36916759335684857,0.4112788646917283
Honduras,0,Tier B – Moderate-High,0.2472074862061521,0.3923985532726613,0.34070021737975886,0.401921733733009
Marshall Islands,0,Tier B – Moderate-High,0.2236391731756571,0.3785061067177178,0.2970906803924584,0.40183861944405264
Ukraine,0,Tier B – Moderate-High,0.22540269344368982,0.4009066283269598,0.3930847713738655,0.40340401517494967
Uruguay,0,Tier B – Moderate-High,0.2072939883195116,0.39073627964837443,0.3259371973206814,0.40209260572506206
Colombia,0,Tier B – Moderate-High,0.2071241409984085,0.3630491006870984,0.34661652820593364,0.4349064737668306
Czech Republic,0,Tier B – Moderate-High,0.21114812500000002,0.36900791666666666,0.5000564166666667,0.43844020833333336
Kyrgyz Republic,0,Tier B – Moderate-High,0.25977065730454313,0.3359721220258008,0.3332035829240747,0.40185611735183097
China,0,Tier B – Moderate-High,0.2996261539696423,0.4384065158147871,0.5549556696130671,0.4285485963352668
Puerto Rico,0,Tier B – Moderate-High,0.19780747253861028,0.42263063211055263,0.4937826198278458,0.40199813416625124
Serbia,0,Tier B – Moderate-High,0.23966509281991155,0.34706316174301727,0.4144653712448147,0.4085613507427932
