REF_AREA,Country,Year,Pillar,yhat,yhat_lower,yhat_upper
AFG,Afghanistan,2024,score_fdi,0.2360843268963326,0.18740613031101713,0.2877398294413909
AFG,Afghanistan,2025,score_fdi,0.23839367256659666,0.190479130571983,0.2885905718778054
AFG,Afghanistan,2026,score_fdi,0.24069670854923708,0.19331033217088847,0.28983871501233577
AFG,Afghanistan,2027,score_fdi,0.24299974453187748,0.19336045926986997,0.29369526516727434
AFG,Afghanistan,2024,score_banking,0.3391489102537982,0.3142083067690455,0.3646020256190823
AFG,Afghanistan,2025,score_banking,0.3411169916995006,0.3151205636609827,0.36467320923809743
AFG,Afghanistan,2026,score_banking,0.3430796958734934,0.3203075519810718,0.36708178415311093
AFG,Afghanistan,2027,score_banking,0.34504240004748626,0.3212576050276625,0.3688716370013892
AFG,Afghanistan,2024,score_manuf,0.3224380431979181,0.2934944296091229,0.3517274323685077
AFG,Afghanistan,2025,score_manuf,0.32611542258436765,0.29845739840053614,0.35374346709364374
AFG,Afghanistan,2026,score_manuf,0.3297827544861548,0.30239765005625835,0.3600890692136978
AFG,Afghanistan,2027,score_manuf,0.3334500863879419,0.30556303947583496,0.36289492950723024
AFG,Afghanistan,2024,score_digital,0.6173921328649483,0.5317954194408633,0.7082184369427411
AFG,Afghanistan,2025,score_digital,0.6346653735647962,0.5457396159010783,0.7283943018774007
AFG,Afghanistan,2026,score_digital,0.6518914196179232,0.5630549663769785,0.740614753256596
AFG,Afghanistan,2027,score_digital,0.6691174656710501,0.5816411962930088,0.7648762683671118
ASM,American Samoa,2024,score_fdi,0.2467970549587908,0.20665575925895802,0.2840572771461554
ASM,American Samoa,2025,score_fdi,0.2503290665094471,0.21464548884637802,0.2891618799595551
ASM,American Samoa,2026,score_fdi,0.2538514277553201,0.21583675669905322,0.2949100135124857
ASM,American Samoa,2027,score_fdi,0.2573737890011931,0.21973640551452564,0.2968558463856647
ASM,American Samoa,2024,score_banking,0.34287085094127684,0.3218867918285543,0.3633515568245329
ASM,American Samoa,2025,score_banking,0.3457982952951718,0.324388730748526,0.3660422985786896
ASM,American Samoa,2026,score_banking,0.34871774116722554,0.3286821336248472,0.3703726094037213
ASM,American Samoa,2027,score_banking,0.3516371870392792,0.33035390351482624,0.37350137688441676
ASM,American Samoa,2024,score_manuf,0.34215305175257454,0.3091075223921368,0.37401615315434295
ASM,American Samoa,2025,score_manuf,0.3408398541262264,0.3110206087980893,0.37139853288866354
ASM,American Samoa,2026,score_manuf,0.33953024447153496,0.30696325699927957,0.3702791714621846
ASM,American Samoa,2027,score_manuf,0.3382206348168435,0.30741263479886105,0.37042841386273767
ASM,American Samoa,2024,score_digital,0.6175836928763316,0.5299072692250562,0.7006577567966106
ASM,American Samoa,2025,score_digital,0.6348663447494519,0.5456394620231768,0.7266830375838322
ASM,American Samoa,2026,score_digital,0.6521017762622632,0.5643578089201211,0.7447954007671517
ASM,American Samoa,2027,score_digital,0.6693372077750743,0.5808587732609256,0.7644098840915529
AND,Andorra,2024,score_fdi,0.2214337715480345,0.17678562317371493,0.26576553819034043
AND,Andorra,2025,score_fdi,0.22354618586808087,0.179492119652843,0.26777619493449606
AND,Andorra,2026,score_fdi,0.22565282856430194,0.18440074521469857,0.2730358617766602
AND,Andorra,2027,score_fdi,0.22775947126052298,0.18182402289397148,0.2740584346466209
AND,Andorra,2024,score_banking,0.34624048954845493,0.32652117291535815,0.36524619845181344
AND,Andorra,2025,score_banking,0.34950252515429914,0.3304128810495199,0.3687525538970347
AND,Andorra,2026,score_banking,0.3527556480945537,0.3338314088060602,0.3712336198137684
AND,Andorra,2027,score_banking,0.35600877103480816,0.3384572914573013,0.3760708841491113
AND,Andorra,2024,score_manuf,0.3655222695888802,0.3277986271087254,0.4073135352364378
AND,Andorra,2025,score_manuf,0.3661666590032337,0.3269274416611062,0.40552004250984897
AND,Andorra,2026,score_manuf,0.366809287790772,0.3262537557995911,0.4030873582265436
AND,Andorra,2027,score_manuf,0.36745191657831033,0.3271430273499005,0.40831634729472654
AND,Andorra,2024,score_digital,0.630694799708105,0.5487848894588807,0.7145089959944548
AND,Andorra,2025,score_digital,0.6486725453185621,0.5643761198320667,0.7310901562165898
AND,Andorra,2026,score_digital,0.666601171405493,0.5870855827286277,0.7513640159333862
AND,Andorra,2027,score_digital,0.6845297974924239,0.606444841639077,0.7653942577912797
AGO,Angola,2024,score_fdi,0.20374726475316193,0.14970503870632845,0.2569880789967183
AGO,Angola,2025,score_fdi,0.20091084129770803,0.1467729351671752,0.25152943304957814
AGO,Angola,2026,score_fdi,0.1980821676331161,0.14593493275780128,0.25257517396637863
AGO,Angola,2027,score_fdi,0.19525349396852412,0.14039909890229776,0.24797615409909485
AGO,Angola,2024,score_banking,0.25700130011921574,0.2181632404865715,0.2995402849725764
AGO,Angola,2025,score_banking,0.2555720262889988,0.21640996418741695,0.2959071172375322
AGO,Angola,2026,score_banking,0.25414665757853655,0.21266332565833176,0.29623482895169706
AGO,Angola,2027,score_banking,0.2527212888680743,0.2154967813378941,0.29645453640302116
AGO,Angola,2024,score_manuf,0.2547471580070951,0.2174691133552214,0.29365272069705634
AGO,Angola,2025,score_manuf,0.25287860188876954,0.2139455403408977,0.2918266678633519
AGO,Angola,2026,score_manuf,0.25101515111502953,0.2140776539282744,0.28956810617418766
AGO,Angola,2027,score_manuf,0.24915170034128958,0.21125042870895067,0.28473453005246
AGO,Angola,2024,score_digital,0.6185918568553079,0.5255221836572019,0.7063520559292389
AGO,Angola,2025,score_digital,0.635844074970443,0.5448971314606136,0.719744384204456
AGO,Angola,2026,score_digital,0.6530491558776134,0.5612344658442471,0.7410058567936723
AGO,Angola,2027,score_digital,0.6702542367847835,0.5828065090142245,0.7573160532689605
AIA,Anguilla,2024,score_fdi,0.22526530108166506,0.17676847354553804,0.2683187964157091
AIA,Anguilla,2025,score_fdi,0.2274657889718619,0.18003774972268444,0.2705671277844786
AIA,Anguilla,2026,score_fdi,0.22966026460006367,0.18589851203056454,0.274579645126274
AIA,Anguilla,2027,score_fdi,0.23185474022826547,0.18566419734678855,0.27495564810399714
AIA,Anguilla,2024,score_banking,0.34624048954845493,0.327017890622579,0.36584794702617707
AIA,Anguilla,2025,score_banking,0.34950252515429914,0.3311944796371591,0.3681653412897994
AIA,Anguilla,2026,score_banking,0.3527556480945537,0.3355677495772149,0.3707811314092891
AIA,Anguilla,2027,score_banking,0.35600877103480816,0.3380279693844401,0.37476190272104015
AIA,Anguilla,2024,score_manuf,0.33784175029239505,0.308685414366525,0.367252756983573
AIA,Anguilla,2025,score_manuf,0.3377301733800894,0.30943495332337306,0.36652551180077864
AIA,Anguilla,2026,score_manuf,0.33761890132273537,0.3092546031327764,0.3642654914038852
AIA,Anguilla,2027,score_manuf,0.33750762926538136,0.31087891444716426,0.365264222214495
AIA,Anguilla,2024,score_digital,0.6173055623197735,0.5266794231199601,0.7031113272592316
AIA,Anguilla,2025,score_digital,0.634582986111103,0.542507194901758,0.7267618996288058
AIA,Anguilla,2026,score_digital,0.6518132038265001,0.5567003918542534,0.7343350984849972
AIA,Anguilla,2027,score_digital,0.6690434215418971,0.5822079238186336,0.753199923259763
ARG,Argentina,2024,score_fdi,0.2651148279675142,0.21535661573764522,0.3104493548878662
ARG,Argentina,2025,score_fdi,0.2693674768321456,0.21942101446841708,0.31885879456663213
ARG,Argentina,2026,score_fdi,0.27360850643758416,0.22447610660362394,0.3237779927640106
ARG,Argentina,2027,score_fdi,0.2778495360430227,0.22951970055450127,0.32899060846729533
ARG,Argentina,2024,score_banking,0.5059585406766351,0.48790174978183876,0.5242950626295854
ARG,Argentina,2025,score_banking,0.5178243739339612,0.499981765754677,0.5369134766372058
ARG,Argentina,2026,score_banking,0.529657786881841,0.5121057370284596,0.5473403287738148
ARG,Argentina,2027,score_banking,0.5414911998297207,0.5205503427242181,0.5602819499036035
ARG,Argentina,2024,score_manuf,0.31886759933437425,0.28040477929515434,0.3556402931617709
ARG,Argentina,2025,score_manuf,0.3166739885368828,0.28012181090870514,0.35282171833223314
ARG,Argentina,2026,score_manuf,0.31448637121151557,0.2797893620073884,0.35503932150070205
ARG,Argentina,2027,score_manuf,0.31229875388614836,0.2783450854743717,0.3485009395633027
ARG,Argentina,2024,score_digital,0.6204470982836002,0.5290761322823643,0.7101011701426311
ARG,Argentina,2025,score_digital,0.637786792172811,0.5479529209447862,0.7210191592161815
ARG,Argentina,2026,score_digital,0.6550791098492095,0.5603669981247442,0.7439916003723381
ARG,Argentina,2027,score_digital,0.672371427525608,0.5892251079209648,0.7632865958181935
ARM,Armenia,2024,score_fdi,0.2595755434546187,0.20778559992236648,0.31463367848768997
ARM,Armenia,2025,score_fdi,0.2620004104429834,0.2134870431792949,0.3135664463163668
ARM,Armenia,2026,score_fdi,0.26441865211170773,0.21582061073278294,0.3157229559115037
ARM,Armenia,2027,score_fdi,0.26683689378043207,0.21567153190781024,0.31811755785057966
ARM,Armenia,2024,score_banking,0.4215264092822255,0.39293005489259125,0.44989254366159437
ARM,Armenia,2025,score_banking,0.42546502297960204,0.39489706323315155,0.45732947087617787
ARM,Armenia,2026,score_banking,0.42939287543736826,0.39992497176498976,0.45994400326546214
ARM,Armenia,2027,score_banking,0.4333207278951345,0.4035603757717232,0.46183508552361624
ARM,Armenia,2024,score_manuf,0.38150372465116006,0.34806163852045474,0.41615931863759653
ARM,Armenia,2025,score_manuf,0.3830551421072061,0.3467377958048145,0.41856330620231835
ARM,Armenia,2026,score_manuf,0.3846023207177438,0.34945514535987215,0.419853902294209
ARM,Armenia,2027,score_manuf,0.3861494993282816,0.3496090990895577,0.42087032354072546
ARM,Armenia,2024,score_digital,0.6174355864896657,0.52639316655814,0.7084700102427168
ARM,Armenia,2025,score_digital,0.6347169684912342,0.5379113969618806,0.7217895908398099
ARM,Armenia,2026,score_digital,0.6519511336020879,0.5610815349738701,0.7406225483412381
ARM,Armenia,2027,score_digital,0.6691852987129416,0.5828957742595304,0.7551222058123372
ABW,Aruba,2024,score_fdi,0.22526530108166506,0.17739033934177165,0.27116768674683717
ABW,Aruba,2025,score_fdi,0.2274657889718619,0.18338601552826106,0.27232037154037014
ABW,Aruba,2026,score_fdi,0.22966026460006367,0.18289572768341333,0.27124547425854745
ABW,Aruba,2027,score_fdi,0.23185474022826547,0.1862625251362929,0.274697840652911
ABW,Aruba,2024,score_banking,0.35850815567764777,0.33749979499103194,0.37986893488821294
ABW,Aruba,2025,score_banking,0.3612114431039527,0.3413512489743735,0.383558594319468
ABW,Aruba,2026,score_banking,0.3639073444990383,0.34281071297954646,0.38677732262871994
ABW,Aruba,2027,score_banking,0.36660324589412385,0.3460590110579619,0.3883491073340158
ABW,Aruba,2024,score_manuf,0.3052621577878648,0.2654739318731462,0.34539228429914626
ABW,Aruba,2025,score_manuf,0.3041766735683286,0.26473641009671667,0.3424422073218494
ABW,Aruba,2026,score_manuf,0.3030941551526709,0.2629071190513105,0.34301863441724906
ABW,Aruba,2027,score_manuf,0.30201163673701326,0.2620958795388722,0.34367709142934444
ABW,Aruba,2024,score_digital,0.6174290828486774,0.5299045663956354,0.7091230843884777
ABW,Aruba,2025,score_digital,0.6347087376165694,0.5443405618698003,0.7162605549313364
ABW,Aruba,2026,score_digital,0.6519411802129643,0.5676292929922762,0.7391340606760763
ABW,Aruba,2027,score_digital,0.6691736228093595,0.5801197831777488,0.7569303893371605
AUS,Australia,2024,score_fdi,0.22682479638747735,0.17630840579139895,0.278560780113003
AUS,Australia,2025,score_fdi,0.2296825901507037,0.17851052540020587,0.27934742865951784
AUS,Australia,2026,score_fdi,0.23253257573424907,0.18645646532146923,0.2850687749569356
AUS,Australia,2027,score_fdi,0.23538256131779448,0.18783558415222304,0.2883951923014001
AUS,Australia,2024,score_banking,0.5155519714437509,0.5001574741894362,0.5326161938542363
AUS,Australia,2025,score_banking,0.5200122388268839,0.5040486614861356,0.5369436254037161
AUS,Australia,2026,score_banking,0.5244603196871123,0.5070445518850845,0.5398680463835901
AUS,Australia,2027,score_banking,0.5289084005473406,0.5123797035773076,0.5452309407421227
AUS,Australia,2024,score_manuf,0.28036973555163,0.25416531318327457,0.30899922950826175
AUS,Australia,2025,score_manuf,0.278885829192657,0.2540344670307458,0.3048376946720154
AUS,Australia,2026,score_manuf,0.2774059772226429,0.25007565707485335,0.30337485623877924
AUS,Australia,2027,score_manuf,0.27592612525262883,0.2487313111079258,0.30106304708710385
AUS,Australia,2024,score_digital,0.6400543676001371,0.554322093305476,0.7306085586521732
AUS,Australia,2025,score_digital,0.6582056580154347,0.5696180593352683,0.7512854698497161
AUS,Australia,2026,score_digital,0.676307354741073,0.5908597779287683,0.7597178785601724
AUS,Australia,2027,score_digital,0.6944090514667113,0.6001534293394236,0.7787170226288799
AUT,Austria,2024,score_fdi,0.3011460440644655,0.2879335530795585,0.31289572110145625
AUT,Austria,2025,score_fdi,0.30362404801286863,0.29201534505260013,0.3157693022408903
AUT,Austria,2026,score_fdi,0.30609528145868053,0.29420330753393403,0.3175758518902555
AUT,Austria,2027,score_fdi,0.30856651490449233,0.29621763171614884,0.32020494467474947
AUT,Austria,2024,score_banking,0.5080827882425772,0.5021168614625714,0.5140449505442087
AUT,Austria,2025,score_banking,0.5126569978209706,0.5062770354367349,0.5184351877088079
AUT,Austria,2026,score_banking,0.5172187095589857,0.5112378312743449,0.5235638922986446
AUT,Austria,2027,score_banking,0.521780421297001,0.5160772054949198,0.5279271640276219
AUT,Austria,2024,score_manuf,0.437401933252743,0.42974150336744926,0.44394366544984787
AUT,Austria,2025,score_manuf,0.43635579951811093,0.4292318421810371,0.44342074275631504
AUT,Austria,2026,score_manuf,0.4353125240723713,0.42796035824362705,0.4426936940484125
AUT,Austria,2027,score_manuf,0.43426924862663174,0.42712919770767865,0.44169917589342256
AUT,Austria,2024,score_digital,0.8089183391092265,0.7973861292359652,0.819422710533726
AUT,Austria,2025,score_digital,0.8324018747661358,0.8203855159538049,0.8445165559852802
AUT,Austria,2026,score_digital,0.8558212477573157,0.8430402722996823,0.8671922454411485
AUT,Austria,2027,score_digital,0.8792406207484956,0.8681543712170998,0.8909049396839579
AZE,Azerbaijan,2024,score_fdi,0.23874874668337132,0.18785427305175678,0.2883627848222673
AZE,Azerbaijan,2025,score_fdi,0.24007025448428904,0.18832672895793154,0.28837588554682947
AZE,Azerbaijan,2026,score_fdi,0.24138815160815508,0.19318868510999168,0.29048668782501713
AZE,Azerbaijan,2027,score_fdi,0.24270604873202115,0.1966809913007815,0.29562863682612006
AZE,Azerbaijan,2024,score_banking,0.3418996984442664,0.3064002471901704,0.37407293772690736
AZE,Azerbaijan,2025,score_banking,0.3458949734366181,0.3121573605785518,0.3782786174987126
AZE,Azerbaijan,2026,score_banking,0.3498793323770782,0.31584333050596824,0.38285173402430933
AZE,Azerbaijan,2027,score_banking,0.35386369131753825,0.31865121114489814,0.3870571877795221
AZE,Azerbaijan,2024,score_manuf,0.3385766289644757,0.3051510370232624,0.37185360388620103
AZE,Azerbaijan,2025,score_manuf,0.3395225008574773,0.3069329895145168,0.3726561954141757
AZE,Azerbaijan,2026,score_manuf,0.3404657884010446,0.3085339370371479,0.373910857869702
AZE,Azerbaijan,2027,score_manuf,0.3414090759446118,0.3088100320169,0.37396978921428775
AZE,Azerbaijan,2024,score_digital,0.5015634610647469,0.31385528986828576,0.6709280456700537
AZE,Azerbaijan,2025,score_digital,0.5148599578051544,0.34931955906277734,0.7010923136622645
AZE,Azerbaijan,2026,score_digital,0.528120125319495,0.3592406430856107,0.6970305745005465
AZE,Azerbaijan,2027,score_digital,0.5413802928338356,0.3773085081252342,0.7296116207429899
BHS,"Bahamas, The",2024,score_fdi,0.21245821794148487,0.16920712559468584,0.25474749232162086
BHS,"Bahamas, The",2025,score_fdi,0.2142967666355406,0.1672845334166355,0.25709988062066913
BHS,"Bahamas, The",2026,score_fdi,0.21613029197250871,0.16971392535804605,0.2612884939366542
BHS,"Bahamas, The",2027,score_fdi,0.21796381730947686,0.1748421879289279,0.2609098415109643
BHS,"Bahamas, The",2024,score_banking,0.3524521416685919,0.33972696423611976,0.3659933391702239
BHS,"Bahamas, The",2025,score_banking,0.35510761449941414,0.34021193173068276,0.3695640558594452
BHS,"Bahamas, The",2026,score_banking,0.3577558319399882,0.3440244526847927,0.372862262496047
BHS,"Bahamas, The",2027,score_banking,0.36040404938056225,0.3454251203976447,0.3739850449402697
BHS,"Bahamas, The",2024,score_manuf,0.3047961649475922,0.2555748552093811,0.35027670895812385
BHS,"Bahamas, The",2025,score_manuf,0.30436830855654234,0.25528501771300616,0.35588932358641845
